id,"name","created_at","updated_at",user_id,active,"destroyed_at",order,lock_version,published
122,"索马里","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
123,"吉布提","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
124,"肯尼亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
125,"乌干达","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
126,"圣多美和普林西比","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
127,"坦桑尼亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
128,"卢旺达","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
129,"布隆迪","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
130,"刚果民主共和国","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
131,"刚果","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
132,"加蓬","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
133,"安哥拉","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
134,"赞比亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
135,"马拉维","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
136,"莫桑比克","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
137,"科摩罗","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
138,"塞舌尔 (马埃岛)","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
139,"马达加斯加","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
140,"毛里求斯","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
141,"纳米比亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
142,"博茨瓦纳","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
143,"津巴布韦","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
144,"南非","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
145,"斯威士兰","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
146,"新西兰","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
147,"澳大利亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
148,"巴布亚新几内亚","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
149,"所罗门群岛","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
150,"帕劳","2010-08-12 10:41:48","2012-09-25 19:14:34",1,1,NULL,1,1,1
