id,"name",city_id,"created_at","updated_at",user_id,active,"destroyed_at",order,lock_version,published
118,"菏泽市",15,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
119,"牡丹区",15,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
120,"曹县",15,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
121,"定陶县",15,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
122,"成武县",15,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
123,"单县",15,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
124,"巨野县",15,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
125,"郓城县",15,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
126,"鄄城县",15,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
127,"东明县",15,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
128,"泰安市",16,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
129,"泰山区",16,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
130,"岱岳区",16,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
131,"新泰市",16,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
132,"肥城市",16,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
133,"宁阳县",16,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
134,"东平县",16,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
135,"济宁市",17,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
136,"市中区",17,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
137,"任城区",17,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
138,"曲阜市",17,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
139,"兖州市",17,"2010-08-12 10:41:23","2012-09-25 19:14:37",1,1,NULL,1,1,1
